species,sex,subfamily,habitat,foraging_stratum,avg_span,volume,avg_brill,avg_chroma,avg_sex_dich
Coryphospingus_pileatus,Male,Tachyphoninae,N,N,0.070960868,3.71e-5,0.240570214,0.09662102,0.039
Creurgops_dentatus,Female,Tachyphoninae,F,C,0.085146403,6.97e-6,0.165538837,0.10306034,0.08
Creurgops_dentatus,Male,Tachyphoninae,F,C,0.061590726,9.12e-6,0.100814289,0.069501119,0.08
Creurgops_verticalis,Female,Tachyphoninae,F,C,0.117144975,5.67e-6,0.13550931,0.151377771,0.045
Creurgops_verticalis,Male,Tachyphoninae,F,C,0.10975441,4.1e-6,0.155599437,0.1510982,0.045
Cyanerpes_caeruleus,Female,Dacninae,F,C,0.088213042,1.68763e-4,0.188145553,0.135526872,0.337
Cyanerpes_caeruleus,Male,Dacninae,F,C,0.154116545,9.1e-5,0.20652863,0.212207381,0.337
Cyanerpes_cyaneus,Female,Dacninae,F,C,0.044117882,4.28e-5,0.179411771,0.122495308,0.211
Cyanerpes_cyaneus,Male,Dacninae,F,C,0.196045149,4.57409e-4,0.232620534,0.129083613,0.211
Cyanerpes_lucidus,Female,Dacninae,F,C,0.071731304,1.18436e-4,0.16863802,0.124222123,0.229
Cyanerpes_lucidus,Male,Dacninae,F,C,0.128057015,4.36e-5,0.167288564,0.128151242,0.229
Cyanerpes_nitidus,Female,Dacninae,F,C,0.080725924,1.36014e-4,0.211372471,0.121114928,0.25
Cyanerpes_nitidus,Male,Dacninae,F,C,0.125398534,4.45e-5,0.217024092,0.140994658,0.25
Cyanicterus_cyanicterus,Female,Nemosiinae,F,C,0.127777118,1.94457e-4,0.217411822,0.133081063,0.102
Cyanicterus_cyanicterus,Male,Nemosiinae,F,C,0.178946121,2.59155e-4,0.191363662,0.123396567,0.102
Cypsnagra_hirundinacea,Female,Poospizinae,N,N,0.087813526,8e-6,0.268206679,0.112769162,0.017
Cypsnagra_hirundinacea,Male,Poospizinae,N,N,0.091539166,2.22e-5,0.269023324,0.110715048,0.017
Dacnis_albiventris,Female,Dacninae,F,C,0.037295222,2.02e-5,0.164884347,0.125137641,0.18
Dacnis_albiventris,Male,Dacninae,F,C,0.162216473,7.6e-5,0.268465687,0.112330914,0.18
Dacnis_berlepschi,Female,Dacninae,F,C,0.066028549,2.48e-5,0.147327201,0.149919312,0.155
Dacnis_berlepschi,Male,Dacninae,F,C,0.184814266,5.45995e-4,0.192555121,0.123864136,0.155
Dacnis_cayana,Female,Dacninae,F,C,0.092809888,3.87e-5,0.207375763,0.137196675,0.112
Dacnis_cayana,Male,Dacninae,F,C,0.084026939,1.52e-5,0.231823653,0.084095687,0.112
Dacnis_flaviventer,Female,Dacninae,F,C,0.03677428,4.11e-6,0.157814366,0.10734035,0.086
Dacnis_flaviventer,Male,Dacninae,F,C,0.11617074,8.91e-5,0.202556308,0.118511382,0.086
Dacnis_lineata,Female,Dacninae,F,C,0.027829567,3.93e-6,0.210995223,0.117364403,0.135
Dacnis_lineata,Male,Dacninae,F,C,0.079584283,5.3e-5,0.327953662,0.064034496,0.135
Dacnis_nigripes,Female,Dacninae,F,C,0.072094806,5.27e-5,0.193557112,0.111792329,0.109
Dacnis_nigripes,Male,Dacninae,F,C,0.072130182,1.53e-5,0.259722942,0.065078894,0.109
Dacnis_venusta,Female,Dacninae,F,C,0.07168115,7.14e-5,0.168160653,0.118748366,0.105
Dacnis_venusta,Male,Dacninae,F,C,0.143942445,1.7207e-4,0.199410357,0.112216905,0.105
Dacnis_viguieri,Female,Dacninae,F,C,0.054767431,3.94e-5,0.174150837,0.140043535,0.142
Dacnis_viguieri,Male,Dacninae,F,C,0.093291303,1.32423e-4,0.234422794,0.102331218,0.142
Dubusia_castaneoventris,Female,Thraupinae,F,C,0.170773443,9.86e-5,0.139840143,0.121247471,0.022
Dubusia_castaneoventris,Male,Thraupinae,F,C,0.17739911,8.07e-5,0.150811012,0.123671065,0.022
Diglossa_albilatera,Female,Diglossinae,F,U,0.057911474,8.47e-6,0.195827472,0.122435927,0.106
Diglossa_albilatera,Male,Diglossinae,F,U,0.019266083,1.54e-7,0.146649106,0.018702134,0.106
Diglossa_baritula,Female,Diglossinae,F,U/C,0.039721755,1.66e-6,0.141363657,0.109361163,0.07
Diglossa_baritula,Male,Diglossinae,F,U/C,0.107068948,4.15e-6,0.106221923,0.083649997,0.07
Diglossa_brunneiventris,Female,Diglossinae,N,N,0.09216766,8.03e-6,0.111560896,0.094243773,0.013
Diglossa_brunneiventris,Male,Diglossinae,N,N,0.08839062,6.49e-6,0.111570959,0.083005398,0.013
Diglossa_caerulescens,Female,Diglossinae,F,C,0.023163539,6.62e-7,0.146104682,0.042697105,0.013
Diglossa_caerulescens,Male,Diglossinae,F,C,0.030650642,5.35e-7,0.15197101,0.035364599,0.013
Diglossa_carbonaria,Female,Diglossinae,N,N,0.050046409,6.3e-6,0.10039876,0.059255713,0.009
Diglossa_carbonaria,Male,Diglossinae,N,N,0.050094835,4.43e-6,0.095803474,0.059945449,0.009
Diglossa_cyanea,Female,Diglossinae,F,C,0.054621109,4.55e-6,0.110564266,0.054253262,0.023
Diglossa_cyanea,Male,Diglossinae,F,C,0.065365329,5.01e-6,0.120611418,0.063431692,0.023
Diglossa_duidae,Female,Diglossinae,-,-,0.022533742,6.14e-7,0.087627928,0.027104244,0.005
Diglossa_duidae,Male,Diglossinae,-,-,0.023838243,7.75e-7,0.085977396,0.027142207,0.005
Diglossa_gloriosa,Female,Diglossinae,N,N,0.097156821,1.81e-5,0.084152027,0.108312785,0.032
Diglossa_gloriosa,Male,Diglossinae,N,N,0.092961643,7.2e-6,0.080431538,0.077715391,0.032
Diglossa_humeralis,Female,Diglossinae,N,N,0.012264104,1.59e-7,0.067644538,0.05717451,0.021
Diglossa_humeralis,Male,Diglossinae,N,N,0.011092382,9.95e-8,0.065801671,0.037748972,0.021
Diglossa_indigotica,Female,Diglossinae,F,C,0.057030221,2.59e-5,0.069827396,0.06667123,0.081
Diglossa_indigotica,Male,Diglossinae,F,C,0.065885358,3.4e-5,0.069280299,0.071484868,0.081
Diglossa_lafresnayii,Female,Diglossinae,F,U/C,0.04069309,1.2e-6,0.075526606,0.032368599,0.02
Diglossa_lafresnayii,Male,Diglossinae,F,U/C,0.02939223,5.27e-7,0.074990194,0.03364951,0.02
Diglossa_major,Female,Diglossinae,F,C,0.046309227,4.04e-6,0.081039578,0.050961332,0.009
Diglossa_major,Male,Diglossinae,F,C,0.050827102,3.51e-6,0.086940016,0.044486845,0.009
Diglossa_mystacalis,Female,Diglossinae,F,U/C,0.080710501,2.05e-5,0.144576793,0.076658592,0.019
Diglossa_mystacalis,Male,Diglossinae,F,U/C,0.070870097,1.27e-5,0.145635529,0.07631774,0.019
Diglossa_plumbea,Female,Diglossinae,F,C,0.029077129,1.23e-6,0.145728671,0.097840039,0.082
Diglossa_plumbea,Male,Diglossinae,F,C,0.026929599,8.01e-7,0.108635626,0.025572992,0.082
Diglossa_sittoides,Female,Diglossinae,F,C,0.053776338,4.27e-6,0.165673265,0.119604509,0.042
Diglossa_sittoides,Male,Diglossinae,F,C,0.097493985,5.74e-6,0.154192912,0.108314207,0.042
Diglossa_venezuelensis,Female,Diglossinae,F,U/C,0.04637993,6.1e-6,0.139668426,0.083688144,0.047
Diglossa_venezuelensis,Male,Diglossinae,F,U/C,0.027944344,8.05e-7,0.105865719,0.039144359,0.047
Diuca_diuca,Female,Thraupinae,N,N,0.048816763,5.37e-6,0.210642179,0.085989835,0.014
Diuca_diuca,Male,Thraupinae,N,N,0.045853922,2.9e-6,0.20488473,0.089717885,0.014
Diuca_speculifera,Female,Diglossinae,N,N,0.037570316,1.34e-6,0.247956274,0.085967139,0.009
Diuca_speculifera,Male,Diglossinae,N,N,0.030636058,1.51e-6,0.234911192,0.086504165,0.009
