entrezgene,FDRPval_m1m2,FDRPval_m2m2a,FDRPval_m7m8,FDRPval_m8m8a,FDRPval_busted
431566,0,0,0,0,0
418795,1,1,3.41296841848543e-5,1,5.265960608763172e-4
428021,1,1,0.730733205564479,1,1
417256,1,1,1.43031335001297e-5,0.913665141714292,1.4515293300628336e-6
424998,1.49289666783501e-6,2.05222032785359e-7,0,3.13596161880301e-15,0
100859045,1,1,0.670125347508957,0.707632414448914,0.07009138016618018
101748402,1.46072399823862e-10,1.60338648507153e-11,0,7.23675051176245e-8,0
420346,1.05943613937445e-6,1.44134820305441e-7,0,1.15513818726022e-13,0
101751244,1.21724799437458e-11,1.27315151885073e-12,0,1.00187754172661e-12,0
100858952,0,0,0,0,0
395554,1,1,0.0281700117544805,1,1
101747382,1,1,1.31339519313388e-9,4.46116508294575e-4,0
417469,0.007596984650201,0.00154461309786233,8.02859029704817e-15,5.27843922743169e-4,0
420512,1,0.407563513709192,6.86216626412319e-8,2.64212739909826e-4,8.218639428118552e-7
418523,1,1,4.1334147493812e-7,1,1
424526,2.0162592231632e-4,3.33220256131876e-5,0,5.77829964946112e-14,0
421358,1,1,0,0,0
416932,1,1,5.26651033285837e-7,0.26252837878748,0.8852552501500301
429083,1,1,5.18904467106596e-6,0.0151408332779479,4.607150677777611e-9
421282,1,1,0,7.68569196840819e-9,0
427658,1,1,2.4393391971448e-7,0.368871630293236,0.04153024068229186
428167,1,1,4.09102935398467e-15,2.24417829260975e-4,0
101749904,1,1,3.96754311902201e-5,0.0244599026571804,0.0011012439156351179
429823,0.176829323584492,0.0486838492711376,0,8.26292362687317e-7,0
424623,1,1,1,0.120628921143396,1
100857831,1,1,1,0.342918682226513,0.9133796467113022
100858010,9.40939269628201e-13,9.49106193479079e-14,0,0,0
101749545,1,1,1,0.91269512507906,1
428448,2.40369698773672e-5,3.63635258811263e-6,0,1.33455852642725e-10,0
373935,1,1,0.019743196699618,1,1
424355,1,1,3.96780053885073e-11,1.44444057290786e-6,0
427025,1,1,1.26898273471283e-4,1,0
101752129,1,1,4.85915577897061e-6,0.20931621918001,1
422633,1,1,0.00637779792213656,0.346877747680477,0.12548964808781204
101751771,1,1,1,1,2.084776599621866e-6
420678,1,1,0.0350870657209621,1,1
428753,1,1,0,0.276862181136639,0
100859171,1,0.619684616636388,1.07459043358991e-6,0.0723959594417033,1.383736858181843e-12
426806,1,1,6.40005848282858e-7,0.173057150658744,4.434343070811749e-5
423315,1,1,0.005916409519579,1,0.38218174393372784
425562,1,1,1,1,1.4161728504453118e-12
769770,1,1,0.527468399317797,1,1
427242,0,0,0,0,0
101748001,0.759463834465778,0.270682745148359,3.87957508039427e-5,0.116538988637931,5.063936865984359e-14
396081,1,1,0.0236705266311997,0.736008416913701,0.40216282319738356
418669,1,1,1,1,0.002724959564514878
100858895,4.08992938771863e-13,4.02796076063197e-14,0,0,0
769860,1,1,1,1,3.4560084568649442e-9
416997,1,1,0,0.0143868635581214,0
427648,0.211004831733292,0.0595457322500318,0,4.79799879730245e-5,0
428831,0.0165373488900821,0.00356215600507964,2.28158061769672e-11,0.00340536113688702,0.12994626335855297
420304,1,1,0.14566802688785,0.884585849929044,1
770729,1,1,1,1,0.014187777333001268
769595,1,1,1.09500739814953e-4,1,9.682673540208493e-4
424048,1,1,0,7.14841193747767e-14,0
776920,0.0162046155017671,0.00348429224377915,1.24747779955712e-6,0.00433936148435609,0
430532,1,1,1.16078252740276e-13,6.42346884997793e-4,0
418415,1,1,1.6239905703227e-8,0.300869060544769,1
429057,0,0,0,0,0
419262,1,1,1,1,0.1661125071069425
425457,1,1,0,0.135807139304827,1
424542,1,1,8.3797651676841e-12,0.0620217496357969,1
424936,1,1,1,1,0.1285899874090233
NA,1,1,1,1,0.03790118409206574
420523,0,0,0,0,0
423974,1,1,6.97132723403976e-7,0.919681186958723,8.948315339736195e-13
422170,1,1,2.08863727234806e-5,0.252777118663769,0.0029430709365317405
428482,1,1,0.00113975730370924,0.136621854270059,0.7498638084229099
101751738,1,1,0.0016732311004942,0.0456589239888931,1
427126,1,1,1,0.839813674637485,0.008493781899910718
420242,0.119709615165935,0.0313676330920647,0,4.92623933653555e-8,0
771220,1,1,1,1,1
101750334,0.542280949332357,0.17961057110445,1.96880797646257e-8,0.00479495633187883,3.5523492473259585e-6
421409,1,1,1.78068887757705e-4,0.00575606636867362,1
420923,1,1,1,1,1
420919,1,1,1.87390296425579e-4,1,2.3818562152941894e-5
423098,1,1,0.825161040602173,1,0
429693,1,1,3.74290431781256e-8,1,0
100858511,0.403926019563414,0.126368518690858,2.73362841091018e-9,4.64937354076597e-4,3.6757232940435496e-11
427050,1,1,0,0.299026545991445,0
419941,1,1,2.26441802758291e-5,4.81863332431231e-4,1
427968,1,1,0.367200514470441,1,0.8616727422134182
420706,1,1,1.06315335016264e-13,7.87605658800426e-8,0
768624,1,1,1,0.931791866930202,1
395398,1,1,1,0.0119460086840587,1
420763,1,1,1,0.592746102852325,0.9790537694997208
771085,1,1,1,0.897717714978347,1
101747242,1,1,1,0.816425668621921,2.0950113318176517e-7
420031,1,1,1,1,0
419469,1,1,0,1,0
423965,1,1,1,1,0.008919374929797498
417669,1,1,0.0140765773567379,0.608162080520716,1.8588649812093061e-4
420735,1,1,0.00649493735175838,1,0.03876046855097323
426893,6.3318106817196e-5,9.94799646463449e-6,1.41627429516845e-15,2.00053913240569e-12,3.100787168221523e-8
396446,1,1,9.91486857968555e-11,0.300416344506077,0
417298,1,1,0.00125915013803566,1,0.8154632113376051
426163,1,1,1,1,0
415372,1,1,1,1,0.8963348859950249
374065,1,1,5.70578475392979e-5,0.481514324326985,9.692786126020538e-5
422080,0,0,0,0,0
414343,0.00321425403591101,6.17292308474459e-4,2.70064710576729e-6,4.13574655290432e-6,0.03358436584893953
101751642,1,1,6.39802731761506e-5,0.0108516189255717,8.336991079315762e-4
419149,0.349394532719437,0.106643442376703,2.53572165882807e-13,0.00629883083991373,0
424003,1,1,0,1,0
100857507,1,1,1,1,0.7610894714617887
101750258,0.00301910122111913,5.7705132110331e-4,3.14645461619823e-8,0.00493929845282872,0.21549400431901838
420583,1,1,0.0353612385923268,1,0.811122427661674
428331,1,1,1.51786604247959e-5,0.417610538969562,2.3936408410918375e-13
415668,1,1,0,0.0603039617858643,0
428587,1,1,0,1,0
421259,0.00586652368290727,0.00117114407039713,6.14434178595598e-12,9.24378587014301e-8,0
423049,1,1,2.59710840934351e-12,1,0
422046,1.26445583901361e-7,1.61898740520418e-8,1.05912686421293e-14,1.34688423483842e-14,1.402940054155294e-5
396100,1,1,6.95314276260041e-4,0.804302394379539,0.007991102780294279
416526,0.0563408152293926,0.0135911003579567,0,9.06002678720872e-4,0
426493,1,0.015718966547071,1,1,0.003320609777080419
100859110,1,1,1.84917094910147e-4,0.918420334395798,8.114447509197482e-5
420006,1,1,1.86350545964843e-4,0.822617404079946,0
100859400,2.60837425924439e-6,3.64922217603224e-7,0,3.02168090549059e-12,0
424336,1,1,0.121408955444133,1,0
420666,1,1,0.0494670800391553,0.453823972858675,1
416102,1,1,0,1,0.06556959845391284
395590,1,1,1,0.648144069815639,1
420015,1,1,8.5925092600651e-8,0.19910997715173,5.23508421861441e-7
415943,0,0,0,0,0
426068,1,1,5.5939430462435e-13,0.332433336201135,1
420769,0.0198226901348668,0.00433837241779106,0,7.67597001404428e-15,0
100859608,1,1,0.0178362424893513,1,0
374051,1,1,1,0.710465252709694,0.45802876953112603
100859194,1,1,1.89401088703309e-11,0.123346279798195,1
419369,1,1,3.36562663837931e-4,0.00370670040410216,1
417389,1,1,1,1,6.821652068323844e-6
769646,0.179428291450402,0.0494976461571701,1.75081756077637e-4,2.33770717824383e-4,0
101751218,1,1,3.14700546091402e-6,0.053781807142898,1.0144505605802576e-5
396484,1,1,1,0.880846239937689,0.6996727553083864
100857693,1,1,3.12990166283674e-6,0.0834009816289242,0.033790382860139974
424009,0.296267866569919,0.0880199282019991,8.64804422735232e-7,9.44989746169344e-4,0
693263,1,1,0.0340152492579961,0.28240199312805,0.20178331553300638
770322,1,1,0.0793246066369374,1,1
423106,4.88787268167032e-9,5.77682300143916e-10,0,0,0
431235,1,1,0.0124086477026071,0.935441455010696,0.7616681314599701
422501,1,1,0.00964822158406357,0.114066911442668,1
427850,1,1,0,0.206538149480349,0
770077,1,1,1,1,1
425935,2.74432491383717e-14,3.35663396719333e-15,0,0,0
396370,1,1,0,0.281896731792559,0
NA,8.29988581620732e-4,1.47089802846121e-4,7.38328156080691e-15,3.4536821101392e-6,1.6099052605608005e-14
100859435,1,1,1,0.664616208004127,1
427288,7.88612222192375e-4,1.39367833528416e-4,0,2.80525721534729e-7,0
428779,1,1,3.49631242059299e-6,1,1
427280,1,1,2.94968302981965e-5,0.494142049172769,9.760075021162102e-4
395582,1,1,3.76053520795282e-6,0.972659238624813,0.013620050486813709
419244,1,1,1,1,0.0011756914815965326
100857891,1,1,0.432163689110424,1,0.9876496279602762
100858414,1,1,1.06536184420112e-8,0.720798664298499,0.020218898200851734
421811,0,0,0,0,0
430303,1,1,0,0.167796398057435,0
101750349,8.41071599240772e-14,6.50347831143704e-15,0,0,0
431590,1,1,6.67176745628422e-9,0.192256177686453,1.7463386885647524e-12
423489,1,1,0,2.48582134214836e-7,0
770891,1,1,0.137169527804618,0.15422182394614,8.63477168189355e-9
100859779,1,1,7.33453393786438e-4,0.440052172879561,6.492287087941844e-15
415849,0.00595616164195323,0.00119048818532832,0,0.0142476509376918,0
425522,1,1,5.50606872957552e-6,0.116677607223436,1
724086,1,1,1,1,1
426573,1,1,1,1,0.0069695715374559954
418892,0,0,0,0,0
428133,1,1,1,1,0.011246330888828288
417780,1,1,0.0184398195054389,1,0.0031164581946318145
422016,1,1,1,0.195281673734548,0
424885,1,1,1,1,0.13224561316459085
428435,1,1,1,1,7.660204463058252e-8
418889,1,1,1.77955039826161e-5,1,3.994841414344931e-7
418914,0.129290770539901,0.0341906514789961,1.43461096313996e-8,0.00362995588097029,1.881096955075298e-4
772014,0.0181617502485911,0.00394510115658759,0,1.19085536059111e-6,0
777044,1,1,0.0123117828788524,0.175685909142744,1.269327192590081e-4
420659,0.0645149472773123,0.0157762522736455,1.5381954049843e-5,5.22219797400292e-5,0.3216748545379326
NA,1,1,0.0933678715204132,0.304725283812521,1
373980,1,1,1,0.607138156205465,7.985612867390109e-10
424523,0,0,0,0,0
374017,1,1,1,0.920302137141521,0.002722684171020988
427394,0,0,0,0,0
NA,1,1,0.0913511680400231,0.568160875830282,0.9485042442816304
418435,1,1,1,0.962338440644157,1
418682,1,1,0,1,0
770190,1,1,1,0.838242658506155,0.25747434797613844
777179,1,1,1,1,1
428219,1,1,5.75522524143193e-5,1,0
395804,1,1,1,1,0
420874,1,1,1,1,1
427493,1,1,4.30334651046222e-4,0.33271367414528,0.5107795454297872
427236,1,1,0,1,0
422183,1,1,0.138430950986939,0.644473954998596,1.7916737680946563e-5
425754,1,1,1,1,7.060653841910709e-6
416190,1.68523799901224e-4,2.7618311554142e-5,1.80934172636375e-14,8.28732350034968e-12,2.1978209672726597e-8
418770,1,1,0.00376942769475953,0.628843380785236,0
430998,1,1,1,0.964185021729396,2.7545332941326108e-5
420979,1,1,1,1,0.07552448647572575
770462,1,1,1,0.436525629681124,1
420648,1,1,3.36883126657318e-4,0.255779826781567,0
NA,1,1,5.06514956204502e-4,0.861656825329505,0.004019068329720156
101750781,1,1,0,0.660415874799159,4.335627084536667e-12
769385,0.43580850585962,0.138209542601511,7.18323240040847e-16,1,0
429156,1,1,0.581197684078643,0.950797080796951,4.665506375796933e-6
422689,3.60886657744485e-15,0,0,0,0
429030,1,1,0,1.80842393089538e-5,0
420437,1,1,0,0.00224880745987979,0
418769,0.46170566502348,0.148032770264193,5.87501988759358e-4,0.00195661404731809,8.172677918382852e-10
418164,1,1,0,0.209892844940951,0
421461,0.138559837952755,0.0369556732288241,0,1.61583356971568e-7,1
417601,1,1,0,1,0
424352,2.65893398933128e-6,3.72238140203685e-7,0,0,0
428572,0.253389970324902,0.0734318688945619,2.01380523250441e-7,0.0224545786228233,0
NA,1,1,1,0.559053011306002,0.26963821014959094
425846,1,1,0.00430120419915543,0.0567366746871923,0
428282,1,1,1,1,1
429171,1,1,0.0451508800416619,1,1.1721709806150069e-8
771445,0,0,0,0,0
101749117,1,1,0,1,0
427010,1,1,7.36981920038272e-4,0.693222622791667,0
101750009,1,1,1,1,1
771904,1,1,1,1,0.09402829866177004
424161,0,0,0,0,0
429514,1,1,0.97054480904856,1,1
418826,1.40299756831002e-14,0,0,0,2.1447454863582258e-7
428996,0,0,0,0,0
770845,1,1,6.39969058727632e-12,0.257294867749569,2.0821759391213807e-11
416112,1,1,1,0.259074976510881,5.629176376254852e-10
100858989,1,1,1,0.620028646659176,1
419992,0.011180144662177,0.00233608720380041,2.93942049697677e-7,4.7241092110749e-7,0.25627531450411234
427282,1,1,1,0.658172987063009,0.39515341882613925
101751740,2.40294686820275e-10,2.65927975680904e-11,0,0,0
430126,1,1,1,0.00137810324235471,1
100859164,1,1,1,1,0.003786494834297535
395801,1,1,0.441309403193536,0.403017861701655,0.008375530432798787
428674,1,1,1.51538164332507e-4,1,1
422531,1,1,9.10769412997095e-11,0.140965033270289,0.009727979871569934
427088,1,1,1,0.577851567073797,4.044192015902199e-4
420962,1,1,0.426474975352949,1,4.766704587194599e-16
416818,0,0,0,0,0
418556,0.285549226675538,0.0843101254036399,3.2465766292155e-11,0.00263322464596628,0
101752191,1,1,0.00464982976167485,0.572679068137719,0
100858159,1,1,0.634930377875467,1,1
